"StartDate","EndDate","Progress","Duration..in.seconds.","Finished","RecordedDate","ResponseId","RecipientEmail","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","Q2","Q2_20_TEXT","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18"
"2022-09-22 09:47:50","2022-09-22 09:52:11","100","260","True","2022-09-22 09:52:12","R_1oiiQFGzet0gIpl",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Finding something cool by synthesizing information from various sources","Read the background information, set up a procedure, and do the writing/experiment. ","Someone who was at the event in person","A source that interviewed or reviewed the primary source","Unclear","Unconfident","Prepared","1-2","Good writing and research skills","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"An experience that broadens my world view or helps me figure out what I am interested in"
"2022-09-22 09:48:04","2022-09-22 09:52:48","100","284","True","2022-09-22 09:52:49","R_2rMe1HhXpg1ngdZ",NA,"37.8637","-122.276","anonymous","EN","College Writing Programs R4B",NA,"Diving into the internet to find information about a topic.","First, I would simply google search to find general information on what I'm looking for. Then, once I've narrowed down what I want to find, I might look into a database for better academic information.","A primary source is something written firsthand by somebody involved in and at the time of the moment.","A secondary source is a source written based on a primary source.","Clear","Confident","Prepared","1-2","A willingness to learn and determination to complete the coursework.","Somewhat agree",NA,"Strongly agree",NA,"Neither agree nor disagree",NA,"Discovery experience is anything where I learn something new."
"2022-09-22 09:47:40","2022-09-22 09:54:25","100","404","True","2022-09-22 09:54:25","R_2PcWLXwdLFKUdUH",NA,"37.9269","-122.3313","anonymous","EN","College Writing Programs R4B",NA,"Research is a means of discovering new things that benefit new ideas and approaches. In writing, we use research to help find sources to explain claims or understand a topic better. In science, we use research to test a new theory.  Research is a way of studying to discover new ideas. ","I would go on Google or to the Berkeley search library to look for articles I can use. ","I believe a primary source is from someone who was there at the time (like a journal/diary or a photo)","A secondary source would be writing/analysis on the primary source","Clear","Confident","Prepared","1-2","Using documents, using the library, knowing how to find research articles. ","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"I do not think I have heard this phrase before, but it sounds exciting. It sounds like having a new experience, maybe education-wise which sounds very exciting to me. "
"2022-09-22 09:47:58","2022-09-22 09:54:37","100","399","True","2022-09-22 09:54:37","R_1pFZAUerqM6qX1X",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Research is when you discover information and summarize with varies conclusions. ","find credible information, create connections, summarize your findings.","a primary source is a source that has direct evidence/first-handed evidence.","a secondary source is a source that usually is an interpret of a primary source ","Clear","Confident","Unprepared","3-5","the ability to find information and create a concise conclusion. ","Somewhat agree","Educational most likely yes, but gpa/grade wise not as much ","Strongly agree","discovery is learning that is the whole point of my education ","Somewhat agree","builds community ","An experience which provides the ability to learn new things. "
"2022-09-22 09:48:42","2022-09-22 09:55:12","100","390","True","2022-09-22 09:55:12","R_2uq8BdJYL55riW9",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Research, personally to me, is the act of knowing the unknown using data collected, with methods including try and error.","I would go to google to see if there are any databases. If possible, I will also ask a faculty member. ","A source that you can find the direct connection with the statement that you are trying to prove.","A source that you can find the connection with the statement that you are trying to prove with after derivation. ","Clear","Confident","Unprepared","1-2","Just do it.","Neither agree nor disagree",NA,"Somewhat agree",NA,"Neither agree nor disagree",NA,"the phrase discovery experience means that I should be having fun and finding something new."
"2022-09-22 09:45:59","2022-09-22 09:55:23","100","563","True","2022-09-22 09:55:23","R_DbYIScz56MvWXLj",NA,"37.8637","-122.276","anonymous","EN","College Writing Programs R4B",NA,"Research is investigating and looking around ","1. Look online for articles or scholarly writings
2. Look for people who may be able to give their own accounts or ideas on the topic
3. Talk with professionals who are in the field of the topic I'm researching ","A source that come directly from the source, such as a newspaper from the day of an event or a witness account of someone who was there.","Secondhand reporting or telling of an event.","Clear","Unconfident","Unprepared","1-2","The ability to write well in order to write good research papers. Strategies that revolve around knowing our resources and what to use when it comes down to doing projects and other school work. ","Somewhat agree",NA,"Somewhat agree","Finding new things and ideas and beliefs","Strongly agree","We interact and colborate with each other ","Finding out information that changes our lives or makes a difference in the way we think or view the world around us."
"2022-09-22 09:46:30","2022-09-22 09:55:32","100","542","True","2022-09-22 09:55:32","R_1OxCVvnPT5kMQXg",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"I think of investigating a certain area of interest by pulling from different sources and your own conclusions. ","I would first find my sources, and turn to an online database like Jstor or google scholar to do so. Then I'll read through each of them and bring them into a conversation with each other, with me as the mediator. Then I gather my opinions on these pieces and introduce my own conclusions in the end. ","A primary source is one that uses information that is not taken from anyone else (the most original commentary on that topic?) ","A secondary source is one that discusses information from a primary source and is not 100% original.","Clear","Very Confident","Very Prepared","3-5","Being able to accept criticism, check your blind spots, and be understanding to all world views. ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"Discovery experience makes me feel powerful- I feel that I have the means to conduct meaningful research and make a change at this school. I have room for my voice and feel excited to be able to create new conclusions to conventional and current perspectives. "
"2022-09-22 09:48:54","2022-09-22 09:56:24","100","449","True","2022-09-22 09:56:24","R_2SrcaoYHAGFOG98",NA,"37.976","-122.3359","anonymous","EN","College Writing Programs R4B",NA,"Telling a story with data","I would first gather 4-8 sources that would provide the main data points to explain and draw from, then i would read a few and gather some direct quotes that would drive my message home in my paper. I would write an introduction and be open to altering the path given what i find.","A source to provide direct evidence considering research or history","sources created by someone who didn't first hand e.g. participate in a study/ who didn't discover something first - interprets and analyses reported data","Clear","Confident","Prepared","3-5","Persistence, dedication, perspective, and being open to criticism to grow","Somewhat agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"discovering what's important to my educational journey; taking a class where i can genuinely discover more about the world around me"
"2022-09-22 09:48:45","2022-09-22 09:56:26","100","461","True","2022-09-22 09:56:27","R_PG8KmgqD4n8ZNmN",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I hear the word research, I think of discovering new things, whether that is just googling something to learn when milk expires or whether that is trying to find cancer cures in a lab.","I would first google the topic and see what comes up, then I would dive deeper by looking in journals and research papers. If applicable, I might also do surveys to see what other people think.","A source that comes from directly looking at specimens or data. ","Secondary sources go off primary sources using that information.","Clear","Confident","Prepared","1-2","I think organization and drive are very important. Also, I think that it is important to know how to research on the internet for research papers and beyond that for different research positions. ","Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,"I think discovery experience sounds like learning through finding new things instead of just sticking to the rigid curriculum of classes that have been there for many years. "
"2022-09-22 09:46:24","2022-09-22 09:56:27","100","603","True","2022-09-22 09:56:27","R_2rkefwCYYVUUwDp",NA,"37.7428","-122.1745","anonymous","EN","College Writing Programs R4B",NA,"Research is the process of error and trials based on a claim that you have proposed.  ","First of all, I have to make sure the topic or questions make sense. Then I would start looking for articles using keywords that refer to the issue. I would also make sure the articles are up to date.","A primary source is a reliable source that is credible.","A secondary source is a source that is credible but not the best option to utilize in research. ","Clear","Confident","Prepared","6-8","In college, you need to be very organized, have a strong mentality (like thinking positively), and hold yourself accountable. ","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"The phrase ""Discovery experience"" means to me that I am the one who goes through experience where I discover something in research that I am passionate about. "
"2022-09-22 09:48:07","2022-09-22 09:56:52","100","525","True","2022-09-22 09:56:53","R_Rm1Qp01HfekJ0d3",NA,"37.8682","-122.2865","anonymous","EN","College Writing Programs R4B",NA,"Information and sorting through it. Making connections between information and establishing relationships. ","I would first make an outline and decide what subtopics of the topic I want to research. After I would map how my paper would go. Once I have that, I would start researching for valid sourced that back up my arguments. To do thing I generally tend to look at the author and see their credentials. This way I can verify my source and decide if its a good option or not. ","Primary source is any document, recording, etc that is the subject in question or that was made at the time and place of the study. ","A secondary source is any source that talks about the primary source or the event. Can be a textbook, newspaper, etc. ","Very Clear","Confident","Prepared","6-8","You need to sort through a lot of information very quickly so I'd say skimming and scanning for information is crucial as to not get lost in the sea of information. ","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"An experience that allows you to learn something or be put in a different environment "
"2022-09-22 09:49:10","2022-09-22 09:57:30","100","499","True","2022-09-22 09:57:30","R_dbWFdSSjhtcXjln",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4A",NA,"What comes to mind when I hear research is someone in a lab coat holding a pipette and working in a laboratory. ","I would first go to a reference source database to get myself situated with the context of what has been said already and what has not. Next, I would go to a primary source database and collect primary sources so I could get strong pieces of evidence. I would then go to a secondary source database and gather further context from them. Lastly, after gathering all the sources I think are sufficient, I would go over them again and start to formulate a claim.","A primary source is a source that comes firsthand and is either based on experience or a research study. ","A secondary source is a formulated opinion or summary of a primary source. ","Very Clear","Confident","Prepared","1-2","I think the most successful skills necessary to succeed in college are organization and discipline. ","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat disagree",NA,"The phrase discovery experience means that you have found out something new (big or small), whether known or unknown to the community. "
"2022-09-22 09:55:20","2022-09-22 09:58:10","100","170","True","2022-09-22 09:58:11","R_d4f5h0Jc15jO4db",NA,"37.8611","-122.2564","anonymous","EN","College Writing Programs R4B",NA,NA,NA,NA,NA,"Clear","Confident","Prepared","3-5",NA,"Somewhat agree",NA,"Strongly agree",NA,"Strongly agree",NA,NA
"2022-09-22 09:48:14","2022-09-22 09:58:39","100","624","True","2022-09-22 09:58:39","R_prtqVMDdzjdODnP",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"When I think of a definition of research, I have this philosophical idea in mind: “searching for the information you want and finding what you need instead.” I used to research with the goal of finding information that supports my claim, however, I would often find information disproving my claim or altering it in some way. When this happens, I am forced to change my claims because the information provided to me is what I need for my subject, even if it was not necessarily what I wanted. ","I would start off on ebscohost. I would look up key words and include '+' to get more specific results. I'd choose a few and speed read the first few pages and the last few to see if it has to do with my topic. ","Someone who conducted data themselves or experienced events first hand","Someone who is just retelling an even they know of or is creating a paper based on research they didn't conduct themselves.","Clear","Confident","Unprepared","1-2","Time-management, planning, studying, self- priority + self-love, ambition. ","Somewhat agree","I think even in stem related classes, you have to rely on your own creativity to come up with innovative research topics. ","Strongly agree","I'm still growing, there is a lot I have yet to learn. ","Somewhat agree","I think its possible to successfully run a class with little community engagement. The teacher just has to be engaging enough to make up for the missed community engagement. ","The feeling you get when you first learn something new."
"2022-09-22 09:48:14","2022-09-22 09:59:08","100","653","True","2022-09-22 09:59:08","R_cMDE2UZPh3JGllT",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"I think of trying to learn more about the world, and building off of and refining our current understanding of the world. I think it is a constant learning process.","I would first try to find out as much background information about the topic as I can from the internet and journals. I would then create a Google Docs and track the important information I read. I may also interview experts in the field.","A primary source is information that came from someone who was present at the event/situation.","A secondary source is information that someone learned about the event, so they were not directly there.","Clear","Confident","Prepared","6-8","Perseverance, organization, curiosity, passion, desire to learn.","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"It means that we are all still learning and finding out more about who we are, our passions, and our purpose in life."
"2022-09-22 09:48:45","2022-09-22 10:00:32","100","706","True","2022-09-22 10:00:32","R_esxNIPPPmuNgylj",NA,"37.8668","-122.2924","anonymous","EN","College Writing Programs R4B",NA,"The images that come to mind first are scientists and people in a library. I would define research as the process of gathering and interpreting information. That might come in the form of data collection or literature review. I feel like research often involves a hypothesis that one is trying to find evidence in support of.","1. Think about what questions I need to ask/answer to learn more
2. Gather information
3. Form new understanding and check for gaps in knowledge 
4. Gather more information
5. Synthesize findings","A source that was witness to an event or directly stems from it. Journal entries, inscriptions, etc","A source that interprets, recounts, or otherwise bases itself off of primary sources","Clear","Confident","Prepared","1-2","In no particular order: discipline, time management, openness (to people and ideas), resilience, and introspection.","Neither agree nor disagree",NA,"Somewhat agree",NA,"Strongly agree",NA,"That's a very broad term. Discovery means finding new things and information, an experience of that is normally engaging and fun, assuming it is relatively self directed."
"2022-09-22 09:49:22","2022-09-22 10:01:45","100","743","True","2022-09-22 10:01:46","R_wZWuzLRW9ij4KUF",NA,"37.8906","-122.2936","anonymous","EN","College Writing Programs R4B",NA,"""Research"" tells me someone is conducting an experiment or investigation to come up with findings for a report.","Look for sources to support the claim or come up with one, and apply the new information to different scenarios to test its truth.","A first hand account of a topic such as an autobiography or recording.","A second hand account of a topic that was observed or interpreted.","Clear","Confident","Prepared","3-5","confidence, open-mindedness, and willingness to try","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"engaging with projects never dealt with before"
"2022-09-22 09:56:41","2022-09-22 10:02:26","100","344","True","2022-09-22 10:02:26","R_bHq6cgxkNK6wi1r",NA,"37.7428","-122.1745","anonymous","EN","College Writing Programs R4B",NA,"I think of a claim where there is a  test and trial.","I would make sure my claim made sense.
I would research more on my topic.
I would get my main points together and research specifically on those topics.","A credible source with a recent date and author","not the first option but a source in the past with a credible author ","Clear","Confident","Prepared","6-8","organization
positive mentality 
holding yourself accountable 
","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,NA
"2022-09-22 09:47:43","2022-09-22 10:02:28","100","885","True","2022-09-22 10:02:29","R_2c8wCKYIKuEz2NO",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"I think the definition of research consists of finding prior conducted research such as experiments, studies or papers, thus allowing an individual to dig deeper into that specific topic. ","I would write down the information I know just based on prior knowledge. I then would find academic articles that give more details about the topic. Going from there, I would research videos or other articles that have some of the main ideas from the initial article. ","A primary source is something that is from the initial origin, for example, a researcher who conducted an experiment or study would present a research paper that would be a primary source.  ","A secondary source is a video or paper that is written based on information from the primary source. It has no direct correlation to the initial research the primary source explains ","Clear","Confident","Prepared","1-2","I think time management is a great tool for succeeding in college because we are given so many assignments and have to prioritize which should be done first. I also think it is important to use different platforms or some type of organization tool because without it it can be hard to know when assignments are due. ","Strongly agree","I think Berkeley just as a city screams creativity so students should get familiar with thinking outside of the box and allowing ideas to flow through. ","Strongly agree","I also agree with this because there is so much unknown in the world and getting familiar with it now, in undergrad, will make discovery outside of Berkeley more comfortable ","Strongly agree","I agree with this because there are a lot of people at this university so being able to communicate with different types of people is very important and you can make friends along the way. It can also help with collaboration for certain ideas within certain classes ","I think it means what you felt or went through when you were discovering something. "
"2022-09-22 12:47:39","2022-09-22 12:50:02","100","142","True","2022-09-22 12:50:02","R_2Ev0hdHqk5BK7VT",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Discovering something new","1. Internet search
2. Check which ones are valid sources
3. Make sure the information overlaps between resources","A source that does not cite another source for information","A source that cites another source for information","Clear","Unconfident","Unprepared","3-5","Computational thinking, critical reasoning, research skills, ability to ask good questions, curiosity, motivation","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"Finding yourself"
"2022-09-22 12:47:38","2022-09-22 12:50:55","100","197","True","2022-09-22 12:50:56","R_3j7lbboljnwDIkA",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"Looking and searching for information in an analytical way. ","I would start by going online and getting a gage of the basic information that I should know. On the other hand then I would start looking at more reputable sources.  ","A fist hand account.  A letter by someone who was at the event. ","someone who writes about this first hand account. ","Clear","Very Confident","Unprepared","1-2","being good at time management","Somewhat disagree",NA,"Somewhat disagree",NA,"Strongly disagree",NA,"looking for  new information. "
"2022-09-22 12:49:21","2022-09-22 12:51:24","100","122","True","2022-09-22 12:51:24","R_1I4SmpZ33EOp7IC",NA,"37.8922","-122.2729","anonymous","EN","College Writing Programs R4B",NA,"Discovery in depth ","1. Search online 
2. Verify searches
3. DO a background check on each of these sources to ensure their validity ","Anything that has experienced the event first-hand ","Taken from a primary source ","Clear","Confident","Prepared","3-5","Passion to learn. Skills can be taught later, but I think a teachable attitude is the most important thing by far :) ","Strongly agree",NA,"Strongly agree",NA,"Strongly agree",NA,"It means going deep on educational adventures"
"2022-09-22 12:47:33","2022-09-22 12:52:05","100","272","True","2022-09-22 12:52:06","R_3JKuru1OIA589jj",NA,"37.8922","-122.2729","anonymous","EN","College Writing Programs R4B",NA,"I think of googling ","google is my first go to, then I look at Jstor, ask a couple of questions, usually I start a draft with just a bunch of copy and pastes of quotes I want to use or things I want to paraphrase","first hand account of something (you saw an event in person)","second hand account fo something (you read a book with some info)","Clear","Confident","Prepared","3-5","Communication, research, and implementation","Strongly agree",NA,"Neither agree nor disagree",NA,"Strongly agree",NA,"idk what that is"
"2022-09-22 12:48:24","2022-09-22 12:52:13","100","229","True","2022-09-22 12:52:13","R_2awxtyyyxUGfsdo",NA,"37.8657","-122.2571","anonymous","EN","College Writing Programs R4B",NA,"exploration of a topic where yo7u ask questions and seek solutions to those questions.","first do a general search to get more background information and understanding, then search for more specific journal articles, dissertation papers, books, to learn more specifics about the topic","videos, photos, first-hand diaries, journals etc","articles, journals, books that other people write about a topic ","Clear","Confident","Very Prepared","3-5","resilience, determination, openness, adaptability","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"experiencing discovery"
"2022-09-22 12:47:55","2022-09-22 12:53:02","100","306","True","2022-09-22 12:53:02","R_1ly0him3LMNArW3",NA,"37.8084","-122.2846","anonymous","EN","College Writing Programs R4B",NA,"Exploring a foreign topic by searching through multiple sources and drawing conclusions from those","I would first read anything that summarizes this specific topic or question, noting down questions or interesting specifics. Then I will try to find academic articles on these questions or specifics to learn more.","A primary source is from someone who witnesses the event first-hand","A secondary source is from someone who is reporting on the event (who did not witness the event first-hand).","Clear","Confident","Prepared","1-2","The ability to decide on which articles to use since there are thousands of fit articles for every topic.","Somewhat agree",NA,"Somewhat agree",NA,"Strongly agree",NA,"I think its the learning or interest you find when you go out to research or discover."
"2022-09-22 12:49:24","2022-09-22 12:53:27","100","242","True","2022-09-22 12:53:27","R_1gurMDAjpOAf4zY",NA,"37.8736","-122.257","anonymous","EN","College Writing Programs R4B",NA,"Studying and understanding topics that you never knew much about before","1. understand the information behind the topic or question
2. Create a structure of how I want to research this topic or go about the question 
3. Then research information on each part of the structure
4. Gather the information in a google doc with credible resources
5. Filter out whats needed and whats not needed","Any resources that are received first-hand. it is direct evidence","work that assesses or analyze primary resources","Clear","Confident","Prepared","6-8","motivation, curiosity, grit, patience, organization","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"Experience you have from discovering something"
"2022-09-22 12:49:10","2022-09-22 12:53:32","100","261","True","2022-09-22 12:53:32","R_2y1ksNX2q6jpIjN",NA,"38.5559","-121.7391","anonymous","EN","College Writing Programs R4B",NA,"Digging deeper into a subject and learning a more in depth perspective of a specific avenue of a topic.","I would first write out the question or topic, break it into sub topics that are important to understanding it and then find different sources to get more information about them.","An original source, a direct from the author source","Not directly made by the author, but rather observations of something after.","Clear","Unconfident","Unprepared","1-2","dedication, organization, perserverance, empathy, responsibility.","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"The process of uncovering new things and discovering unknown information."
"2022-09-22 12:49:01","2022-09-22 12:53:39","100","278","True","2022-09-22 12:53:40","R_3fVnQf15yqKDcGx",NA,"38.5559","-121.7391","anonymous","EN","College Writing Programs R4B",NA,"Gathering credible resources and using them to help you analyze a topic or problem in the world","1) Find credible resources about the topic
2) Fact check the resources by using websites that are designated for this
3) Read through the resources and take notes","A primary source is a source that is by the original author and/or takes place during the historical period you are researching.","A secondary source is a source that describes/analyzes a primary source and is not written during the historical period you are researching.","Clear","Unconfident","Prepared","3-5","'- Learning how to research
- Learning how to find credible resources
- Learning how to analyze the resources","Strongly agree",NA,"Strongly agree",NA,"Somewhat agree",NA,"Learning more about the world while investing in yourself"
"2022-09-22 12:48:17","2022-09-22 12:53:58","100","341","True","2022-09-22 12:53:59","R_yUzhsgnmNhV37fH",NA,"37.342","-121.9049","anonymous","EN","College Writing Programs R4B",NA,"Research is the method in which one looks for information to either learn or discover something new about a topic.","1. Use google to research about it.
2. Do a deep dive into certain factors of this topic or question. ","A primary source is a firsthand account of a certain topic, it comes from someone who is directly connected to the topic.","A secondary source is a document that talks about information that doesn't originally come from it. ","Clear","Confident","Unprepared","1-2","Time management, efficiency","Somewhat agree",NA,"Somewhat agree",NA,"Somewhat agree",NA,"Discovery experience is learning new things."
